pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-183|c|11.63707100|2455011.843010|0.1370000|5888.00|0.96||13.726|293.530848|39.315898|2.270|0.980|-0.980|||||||0.0100||||1
Kepler-184|b|10.68757600|2455002.931540|0.1342000|5788.00|0.87||13.100|291.951908|43.074715|2.360|1.330|-1.330|||||||0.2000||||1
Kepler-184|c|20.30300500|2455009.801670|0.1812000|5788.00|0.87||13.100|291.951908|43.074715|1.970|1.110|-1.110|||||||0.0400||||1
Kepler-184|d|29.02235800|2455031.367900|0.1650000|5788.00|0.87||13.100|291.951908|43.074715|2.490|1.410|-1.410|||||||0.8900||||1
Kepler-185|b|1.63290000|2454967.547970|0.0650000|5208.00|0.81|0.79|13.050|282.468103|43.889915|1.170|0.670|-0.670|||||||0.3400||||1
Kepler-185|c|20.72904200|2455018.436420|0.1159000|5208.00|0.81|0.79|13.050|282.468103|43.889915|2.020|1.170|-1.170|||||||0.5700||||1
HR 8799|c|69000.00000000||||||5.383|346.869659|21.134251|13.000|1.000|0.000|||3000.00000|1000.00000|-1000.00000|||39.94|1.31|-1.40|0
HR 8799|e|18000.00000000||||||5.383|346.869659|21.134251|||||||||||39.94|1.31|-1.40|0
K2-3|c|24.64910000|2456812.278400|||0.55|0.61|9.421|172.334949|-1.454787|1.644|0.160|-0.065|55.900000|0.610|2.10000|2.10000|-1.30000|0.02770|0.3100|42.00|2.00|-2.00|1
KELT-1|b|1.21751400|2455914.162800|0.1151900|6518.00|1.46|1.32|9.682|0.362142|39.383808|12.442|0.359|-0.247|||8654.15000|158.90800|-152.55200|||262.00|14.00|-14.00|1
KELT-2 A|b|4.11379120|2455974.603350|0.2155000|6151.00|1.83|1.31|7.669|92.663948|30.957144|14.415|0.729|-0.527|||483.71700|24.78970|-24.47190|||124.22|16.58|-22.62|1
KELT-6|b|7.84558210|2457124.509540||6272.00|1.53|1.13|9.302|195.981868|30.640051|13.227|1.233|-1.233||41.800||||0.07761|0.2000|222.00|8.00|-8.00|1
TrES-2|b|2.47061317|2454955.763360||5850.00|1.00|0.98|10.232|286.808473|49.316402|13.978|0.560|-0.504|7.903000|181.300|380.44251|21.61244|-21.61244|0.12539|0.8436|213.00|11.00|-11.00|1
HAT-P-7|b|2.20473540|2454954.358572||6350.00|1.84|1.47|9.555|292.247310|47.969513|15.906|1.995|-0.953|4.154500|213.500|566.05523|25.74423|-17.79848|0.07752|0.4960|320.00|50.00|-40.00|1
HAT-P-11|b|4.88781620|2454605.891320|0.0957000|4780.00|0.75|0.81|7.608|297.709351|48.080856|4.730|0.157|-0.157|15.580000|11.600|25.74300|2.86000|-2.86000|0.05760|0.3470|38.00|1.30|-1.30|1
Kepler-5|b|3.54846570|2454955.901440||6297.00|1.79|1.37|12.115|299.407009|44.035046|15.984|0.404|-0.572|6.450000|227.500|670.93913|21.29461|-27.33338|0.07996|0.0968||||1
Kepler-6|b|3.23469960|2454954.486528||5647.00|1.39|1.21|12.001|296.837254|48.239964|14.617|0.202|-0.370|7.503000|80.900|212.31044|12.07754|-11.12405|0.09424|0.1410||||1
Kepler-7|b|4.88548920|2454967.276870||5933.00|1.97|1.36|11.833|288.581516|41.089800|18.181|0.146|-0.146|6.637000|42.900|140.16303|13.66669|-13.34886|0.08294|0.5599||||1
