pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-1556|b|8.82713457|2454972.735500|0.0869200|5608.00|0.95|0.97|13.998|288.397002|40.213200|1.960|0.400|-0.150||||||0.01865||1060.00|212.39|-81.53|1
Kepler-1557|b|3.74032496|2454967.702700|0.1016300|6099.00|1.17|1.11|14.194|293.881413|46.838879|1.530|0.500|-0.210||||||0.01200||1532.00|496.29|-217.90|1
Kepler-1559|b|0.97191543|2454965.164750|0.0678800|5316.00|0.82|0.86|13.155|292.286580|42.072456|0.720|0.070|-0.050||||||0.00784||580.00|45.85|-36.20|1
Kepler-1560|b|3.03195744|2454966.989880|0.0690400|5815.00|1.02|1.02|12.247|292.784608|43.215984|0.890|0.180|-0.090||||||0.00842||529.00|103.61|-55.05|1
Kepler-1561|b|1.00520701|2454965.455280|0.0675000|5957.00|1.11|1.07|13.453|296.923604|43.566467|1.090|0.260|-0.180||||||0.00945||993.00|241.47|-143.29|1
Kepler-1563|b|3.43276598|2454965.913550|0.1731700|5765.00|0.99|1.00|12.410|288.573588|51.472755|0.750|0.120|-0.080||||||0.00744||547.00|85.44|-49.91|1
Kepler-1564|b|18.05403810|2454980.799230|0.1837100|5528.00|0.90|0.93|13.711|290.586124|46.642689|1.470|0.190|-0.130||||||0.01498||872.00|109.15|-56.91|1
Kepler-1565|b|1.53818844|2454965.489400|0.0709250|4940.00|0.73|0.76|13.917|297.952967|40.806808|1.190|0.080|-0.120||||||0.01489||657.00|35.40|-60.31|1
Kepler-1566|b|0.53991524|2454964.551750|0.0474600|5254.00|0.81|0.84|12.946|283.587614|40.574927|0.790|0.080|-0.050||||||0.00924||511.00|37.54|-34.41|1
Kepler-1568|b|20.92539200|2454967.895000|0.2757100|5956.00|1.19|1.09|12.929|289.182664|47.873383|1.300|0.210|-0.150||||||0.01042||883.00|134.46|-97.28|1
Kepler-1569|b|5.79180156|2454966.357800|0.1363700|6319.00|1.40|1.25|12.888|292.204706|37.221220|1.680|0.730|-0.310||||||0.01051||1050.00|446.47|-196.06|1
K2-117|c|5.44482000|2457143.560000||3842.12|0.49|0.58|11.447|133.855682|10.469131|2.030|0.130|-0.130|20.930000|||||0.03789|||||1
K2-118|b|50.92092000|2457160.473000||4726.29|0.73|0.76|12.259|132.126896|15.655983|2.540|0.230|-0.200|71.820000|||||0.03174|||||1
